id,name,Weight
g1,Təmirli,0
g2,Qaz,0
g3,Su,0
g4,İşıq,0
g5,Telefon,0
g6,Kabel TV,0
g7,Lift,0
g8,Seyf Qapı,0
g9,PVC pəncərə,0
g10,Su çəni,0
g11,Balkon,0
g12,Mərkəzi istilik s,0
g13,Kondisioner,0
g14,Mətbəx mebeli,0
g15,Əşyalı,0
g16,Kombi sistemi,0
