id,name,Weight
1,Həzi Aslanov,0
2,Əhmədli,0
3,Xalqlar Dostluğu,0
4,Neftçilər,0
5,Qara Qarayev,0
6,Koroğlu,0
7,Ulduz,0
8,Nəriman Nərimanov,0
9,Gənclik,0
10,28 May,0
11,Nizami,0
12,Elmlər Akademiyası,0
13,İnşaatçılar,0
14,20 Yanvar,0
15,Memar Əcəmi,0
16,Nəsimi,0
17,Azadlıq prospekti,0
18,Cəfər Cabbarlı,0
19,Xətai,0
20,Sahil,0
21,İçəri Şəhər,0
22,Bakmil,0
23,Dərnəgül,0
24,Avtovağzal,0
25,8 Noyabr,0
26,Xocəsən,0
