id,name,Weight
floor,Yerləşdiyi mərtəbə,0
total_floor,Mərtəbə sayı,0
rooms,Otaq sayı,0
area_m,kv. m,0
area_s,sot,0
has_cupcha,Əmlakın sənədi,0
