id,name,Weight
1,Binəqədi rayonu,0
2,Nizami rayonu,0
3,Nərimanov rayonu,0
4,Nəsimi rayonu,0
5,Qaradağ rayonu,0
6,Sabunçu rayonu,0
7,Suraxanı rayonu,0
8,Səbail rayonu,0
9,Xətai rayonu,0
10,Xəzər rayonu,0
11,Yasamal rayonu,0
36,Pirallahı rayonu,0
